iter	Passed	Remaining
843	4572	845
844	4577	839
845	4582	834
846	4588	828
847	4592	823
848	4597	817
849	4602	812
850	4607	806
851	4612	801
852	4617	795
853	4622	790
854	4626	784
855	4631	779
856	4636	773
857	4641	768
858	4646	762
859	4651	757
860	4656	751
861	4661	746
862	4666	740
863	4671	735
864	4676	729
865	4680	724
866	4685	718
867	4690	713
868	4695	707
869	4700	702
870	4705	696
871	4710	691
872	4715	685
873	4720	680
874	4725	675
875	4730	669
876	4735	664
877	4740	658
878	4746	653
879	4751	647
880	4756	642
881	4761	637
882	4766	631
883	4772	626
884	4777	620
885	4782	615
886	4787	609
887	4792	604
888	4797	599
889	4802	593
890	4807	588
891	4812	582
892	4817	577
893	4822	571
894	4827	566
895	4833	560
896	4839	555
897	4844	550
898	4851	545
899	4856	539
900	4862	534
901	4867	528
902	4872	523
903	4878	518
904	4883	512
905	4890	507
906	4896	502
907	4903	496
908	4909	491
909	4915	486
910	4920	480
911	4925	475
912	4931	469
913	4937	464
914	4944	459
915	4949	453
916	4956	448
917	4961	443
918	4967	437
919	4972	432
920	4977	426
921	4983	421
922	4988	416
923	4995	410
924	5001	405
925	5007	400
926	5013	394
927	5019	389
928	5024	384
929	5029	378
930	5034	373
931	5039	367
932	5044	362
933	5049	356
934	5055	351
935	5059	345
936	5065	340
937	5070	335
938	5075	329
939	5080	324
940	5086	318
941	5091	313
942	5096	308
943	5101	302
944	5106	297
945	5111	291
946	5116	286
947	5121	280
948	5126	275
949	5131	270
950	5136	264
951	5141	259
952	5146	253
953	5151	248
954	5155	242
955	5160	237
956	5165	232
957	5170	226
958	5175	221
959	5180	215
960	5185	210
961	5191	205
962	5196	199
963	5202	194
964	5207	188
965	5212	183
966	5217	178
967	5223	172
968	5228	167
969	5234	161
970	5239	156
971	5244	151
972	5249	145
973	5254	140
974	5259	134
975	5264	129
976	5269	124
977	5274	118
978	5279	113
979	5283	107
980	5288	102
981	5293	97
982	5298	91
983	5302	86
984	5308	80
985	5312	75
986	5317	70
987	5321	64
988	5327	59
989	5332	53
990	5336	48
991	5340	43
992	5345	37
993	5349	32
994	5353	26
995	5357	21
996	5362	16
997	5366	10
998	5370	5
999	5374	0
	0
